run_idx,w,seed,mean_S,profit,lost_sales,collapsed,final_value_loss,final_explained_variance
170,1.0,52,213.33810687065125,460.97000000000037,0.037235582552371874,False,5253.087279808284,0.3189241879770898
172,1.0,54,136.89109683036804,287.6339,0.19303738363601158,False,5268.779505881284,0.24460844173390642
171,1.0,53,154.1678011417389,363.95839999999987,0.05941727012659241,False,5810.786055749094,0.30951764539648324
175,1.0,57,211.29177510738373,460.97000000000037,0.03629048827406881,False,5367.909014349175,0.3201065566549953
178,1.0,60,78.67860794067383,457.97180000000014,0.04572053913530971,False,5368.3376188881375,0.30402028808991116
173,1.0,55,0.0,431.1019000000001,0.10947228407165195,False,4658.906940310226,0.32344179208844137
177,1.0,59,254.6854019165039,461.4258000000003,0.053830898053235224,False,5429.311121909638,0.33021231995433825
174,1.0,56,33.55927765369415,339.6979999999999,0.14685218817212,False,4652.8264062865155,0.28624625427600664
176,1.0,58,253.4608356654644,460.97000000000037,0.036885427264077605,False,5744.570177266265,0.3948974382832774
179,1.0,61,0.0,463.3950000000001,0.06327836696867531,False,5577.906302957997,0.27905684200107544
